company_code,name,business_description,listing_status,duns_company_code,primary_industry_code,primary_industry_scheme,primary_industry_description,city,state,zipcode
THRMEL,"Thermo Fisher Scientific, Inc.","Thermo Fisher Scientific, Inc. engages in the provision of analytical instruments, equipment, reagents and consumables, software, and services for research, analysis, discovery, and diagnostics. It operates through the following segments: Life Sciences Solutions, Analytical Instruments, Specialty Diagnostics, and Laboratory Products and Services. The Life Sciences Solutions segment is composed of a portfolio of reagents, instruments, and consumables used in biological and medical research, discovery and production of new drugs and vaccines, as well as diagnosis of infection and disease. The Analytical Instruments segment offers instruments, consumables, software, and services that are used for a range of applications in the laboratory, on the production line, and in the field. The Specialty Diagnostics segment provides diagnostic test kits, reagents, culture media, instruments, and associated products used to increase the speed and accuracy of diagnoses. The Laboratory Products and Services segment is involved in providing everything needed for the laboratory, including a combination of self-manufactured and sourced products for customers in research, academic, government, industrial, and healthcare settings. The company was founded on October 11, 1960 and is headquartered in Waltham, MA.",listed,001408673,3826,SIC,Laboratory Analytical Instruments,Waltham,Massachusetts,02451
EQNXIN,"Equinix, Inc.","Equinix, Inc. is a digital infrastructure company, which engages in providing a platform that interconnects the foundational infrastructure. It offers digital services, data center services, interconnection services, and support services. It operates through the following geographical segments: Americas, Europe, Middle East, and Africa, and Asia-Pacific. The company was founded by Jay Steven Adelson and Albert M. Avery, IV on June 22, 1998, and is headquartered in Redwood City, CA.",listed,045267338,6798,SIC,Real Estate Investment Trusts,Redwood City,California,94065
RGRC,Regency Centers Corp.,"Regency Centers Corp. operates as a real estate investment trust, which engages in the ownership, operation, and development of retail shopping centers. Its portfolio includes thriving properties merchandised with highly productive grocers, restaurants, service providers, and best-in-class retailers that connect to its neighborhoods, communities, and customers. The company was founded by Martin Edward Stein, Sr. and Joan Wellhouse Newton in 1963 and is headquartered in Jacksonville, FL.",listed,861192102,6798,SIC,Real Estate Investment Trusts,Jacksonville,Florida,32202
MARATA,Marathon Petroleum Corp.,"Marathon Petroleum Corp. is an independent company, which engages in the refining, marketing, and transportation of petroleum products in the United States. It operates through the following segments: Refining and Marketing, and Midstream. The Refining and Marketing segment refines crude oil and other feedstocks at its refineries in the Gulf Coast and Midwest regions of the United States, purchases ethanol and refined products for resale and distributes refined products through various means, including barges, terminals, and trucks that the company owns or operates. The Midstream segment transports, stores, distributes and markets crude oil and refined products principally for the Refining and Marketing segment via refining logistics assets, pipelines, terminals, towboats, and barges. It also gathers, processes, and transports natural gas, and gathers, transports, fractionates, stores, and markets NGLs. The company was founded in 1887 and is headquartered in Findlay, OH.",listed,968393996,2911,SIC,Petroleum Refining,Findlay,Ohio,45840
CARMAX,"CarMax, Inc.","CarMax, Inc. is a holding company, which engages in the retail of used vehicles and wholesale of vehicle auction operators. It operates through the CarMax Sales Operations and CarMax Auto Finance (CAF) segments. The CarMax Sales Operations segment consists of all aspects of its auto merchandising and service operations. The CAF segment pertains to its finance operation, which offers vehicle financing services to customers buying retail vehicles. The company was founded by Richard L. Sharp and William Austin Ligon in 1993 and is headquartered in Richmond, VA.",listed,023890577,5521,SIC,Motor Vehicle Dealers (Used Only),Richmond,Virginia,23238
SEAGT,Seagate Technology Holdings Plc,"Seagate Technology Holdings Plc operates as holding company that is engaged in the development, production, and distribution of data storage products and electronic data storage solutions. Its products include hard disk drives, solid state hybrid drives, solid state drives, peripheral component interconnect express cards, serial advanced technology attachment controllers, storage subsystems and computing solutions. The firm offers its products under the Backup Plus and Expansion product lines, and Maxtor and LaCie brands. The company is founded in 2012 and is headquartered in Dublin, Ireland.",listed,985027753,3572,SIC,Computer Storage Devices,Fremont,California,94538
MMATR,"Martin Marietta Materials, Inc.","Martin Marietta Materials, Inc. engages in the provision of aggregates including crushed stone, sand, and gravel through its network of quarries and distribution yards. It operates through the following geographical segments: East Group and West Group. The East Group segments provide aggregated products only. The West Group offers aggregates, as well as cement and downstream products including mixed concrete, asphalt, and paving services. The company was founded in November 1993 and is headquartered in Raleigh, NC.",listed,809750912,5039,SIC,"Construction Materials, NEC",Raleigh,North Carolina,27607
COCHIC,"Tapestry, Inc.","Tapestry, Inc. engages in the provision of luxury accessories and lifestyle brands. It operates through the following segments: Coach, Kate Spade, and Stuart Weitzman. The Coach segment consists of global sales of Coach brand products to customers through Coach operated stores, including the internet and concession shop-in-shops, and sales to wholesale customers, and through independent third-party distributors. The Kate Spade segment focuses on Kate Spade New York brand products to customers through Kate Spade operated stores, including the Internet, sales to wholesale customers, through concession shop-in-shops and through independent third-party distributors. The Stuart Weitzman segment includes Stuart Weitzman brand products primarily through Stuart Weitzman operated stores. The company was founded by Dawn Hughes in 1941 and is headquartered in New York, NY.",listed,623026353,5632,SIC,Women's Accessory and Specialty Stores,New York,New York,10001
LXNDRI,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc. engages in the provision of space for lease. It offers properties for rent to life science, agriculture technology (agtech), and technology tenants. The company was founded by Alan D. Gold, Gary A. Kreitzer, Joel S. Marcus, and Jerry M. Sudarsky in October 1994 and is headquartered in Pasadena, CA.",listed,861090074,6798,SIC,Real Estate Investment Trusts,Pasadena,California,91101
AWK,"American Water Works Co., Inc.","American Water Works Co., Inc. is a holding company, which engages in the provision of water and wastewater services. It operates under the Regulated Businesses and Other segments. The Regulated Businesses segment offers water and wastewater services to customers. The Other segment focuses on corporate costs that are not allocated to the operating segments, eliminations of inter-segment transactions, fair value adjustments, and associated income and deductions related to the acquisitions for evaluation of performance and allocation of resource purposes. The company was founded in 1886 and is headquartered in Camden, NJ.",listed,006918726,4941,SIC,Water Supply,Camden,New Jersey,08102
RPBSRV,"Republic Services, Inc.","Republic Services, Inc. engages in the provision of environmental services. It operates through the following segments: Group 1, Group 2, and Group 3. The Group 1 segment focuses on the business of recycling and solid waste in geographic areas located in western United States. The Group 2 segment includes the recycling and solid waste business in geographic areas located in the southeastern and mid-western and the eastern seaboard of the United States. The Group 3 segment includes environmental solutions business in geographic areas located across the United States and Canada. The company was founded in 1996 and is headquartered in Phoenix, AZ.",listed,020138298,4953,SIC,Refuse Systems,Phoenix,Arizona,85054
HAHU,"Hubbell, Inc.","Hubbell, Inc. engages in the designing, manufacturing, and sale of electrical and electronic products for non-residential and residential construction, industrial, and utility applications. It operates through the Electrical Solutions and Utility Solutions segments. The Electrical Solutions segment manufactures and sells wiring and electrical, lighting fixtures, and controls for indoor and outdoor applications as well as specialty lighting and communications products. The Utility Solutions segment is involved in the design, manufacture, and sale of electrical distribution, transmission, substation, and telecommunications products. The company was founded by Harvey Hubbell II in 1888 and is headquartered in Shelton, CT.",listed,001181858,3625,SIC,Relays and Industrial Controls,Shelton,Connecticut,06484
IFLAV,"International Flavors & Fragrances, Inc.","International Flavors & Fragrances, Inc. engages in the manufacture and supply of flavors and fragrances used in the food, beverage, personal care, and household products industries. It operates through the following segments: Nourish, Health & Biosciences, Scent and Pharma Solutions. The Nourish segment consists of legacy Taste segment combined with N&B's Food & Beverage division and the food protection business of N&B's Health & Biosciences division. The Health & Biosciences business consists of a biotechnology-driven portfolio of enzymes, food cultures, probiotics and specialty ingredients for food, home and personal care, and health and wellness applications. The Scent business creates fragrance compounds, fragrance ingredients and cosmetic ingredients that are integral elements in the world’s finest perfumes and best-known household and personal care products. The Pharma Solutions business produces a vast portfolio including cellulosics and seaweed-based pharma excipients, used to improve the functionality and delivery of active pharmaceutical ingredients, including controlled or modified drug release formulations, and enabling. The company was founded in 1833 and is headquartered in New York, NY.",listed,001534833,2087,SIC,Flavoring Extracts and Flavoring Syrups NEC,New York,New York,10019
PRCLN,"Booking Holdings, Inc.","Booking Holdings, Inc. engages in the provision of online travel and related solutions. The company offers services through the following brands: Booking.com, KAYAK, Priceline, Agoda, Rentalcars.com, and OpenTable. It provides accommodation reservations including hotels, hostels, apartments, vacation rentals, and other properties. The company was founded by Jay Scott Walker on July 18, 1997, and is headquartered in Norwalk, CT.",listed,111255238,4724,SIC,Travel Agencies,Norwalk,Connecticut,06854
CAMDPR,Camden Property Trust,"Camden Property Trust operates as a real estate investment trust. The firm engages in the ownership, management, development, reposition, redevelopment, acquisition, and construction of multifamily apartment communities. It focus on investing in markets characterized by high-growth economic conditions, strong employment, and attractive quality of life. The company was founded by Richard J. Campo and D. Keith Oden on May 25, 1993, and is headquartered in Houston, TX.",listed,807230990,6798,SIC,Real Estate Investment Trusts,Houston,Texas,77046
BALCOR,Ball Corp.,"Ball Corp. provides metal packaging for beverages, foods, and household products. It operates through the following business segments: Beverage Packaging North and Central America, Beverage Packaging South America, Beverage Packaging Europe, Middle East and Africa (EMEA), and Aerospace. The Beverage Packaging North and Central America segment includes multi-year supply contracts to fillers of carbonated soft drinks, beer, energy drinks, and other beverages. The Beverage Packaging South America segment includes beverage containers in South America, and the manufacture of substantially all the metal beverage containers in Brazil. The Beverage Packaging EMEA segment consists of metal beverage containers in Europe, and other packaging materials used by the European beer and carbonated soft drink industries. The Aerospace segment provides diversified technical services and products to government agencies, prime contractors, and commercial organizations for a broad range of information warfare, electronic warfare, avionics, intelligence, training, and space system needs. The company was founded by Edmund Burke Ball, Frank Clayton Ball, George A. Ball, Lucius Lorenzo Ball, and William Charles Ball in 1880 and is headquartered in Westminster, CO.",listed,006419147,3411,SIC,Metal Cans,Westminster,Colorado,80021
NRGENG,"NRG Energy, Inc.","NRG Energy, Inc. engages in the production, sale, and distribution of energy and energy services. It operates through the following segments: Generation, Retail, and Corporate. The Generation segment includes all power plant activities, domestic and international, as well as renewables. The Retail segment includes mass customers and business solutions, and other distributed and reliability products. The Corporate segment includes residential solar and electric vehicle services. The company was founded in 1989 and is headquartered in Houston, TX.",listed,793422213,4931,SIC,Electric and Other Services Combined,Houston,Texas,77002
PCLB,Costco Wholesale Corp.,"Costco Wholesale Corp. engages in the operation of membership warehouses through wholly owned subsidiaries. It operates through the following geographical segments: United States, Canada, and Other International Operations. The company was founded by James D. Sinegal and Jeffrey H. Brotman in 1983 and is headquartered in Issaquah, WA.",listed,103391843,5411,SIC,Grocery Stores,Issaquah,Washington,98027
NRTHNT,Northern Trust Corp.,"Northern Trust Corp. is a financial holding company, which engages in the provision of asset servicing, fund administration, asset management, fiduciary, and banking solutions for corporations, institutions, families, and individuals. It operates through the Asset Servicing and Wealth Management segments. The Asset Servicing segment offers asset servicing, brokerage, banking and related services to corporate and public retirement funds, foundations, endowments, fund managers, insurance companies and sovereign wealth funds. The Wealth Management Segment includes trust, investment management, custody, and philanthropic services, financial consulting, guardianship and estate administration, family business consulting, family financial education, brokerage services and private and business banking. The company was founded in 1971 and is headquartered in Chicago, IL.",listed,059439083,6282,SIC,Investment Advice,Chicago,Illinois,60603
MATCHC,"Match Group, Inc.","Match Group, Inc. engages in the provision of dating products worldwide. Its portfolio of brands includes Tinder, Match, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and OurTime. The company was founded in 1995 and is headquartered in Dallas, TX.",listed,175180819,2741,SIC,Miscellaneous Publishing,Dallas,Texas,75231
HOMD,"The Home Depot, Inc.","The Home Depot, Inc. engages in the sale of building materials and home improvement products. Its products include building materials, home improvement products, lawn and garden products and decor products. The firm operates through the following geographical segments: U.S., Canada and Mexico. It offers home improvement installation services, and tool and equipment rental. The company was founded by Bernard Marcus, Arthur M. Blank, Kenneth Gerald Langone and Pat Farrah on June 29, 1978, and is headquartered at Atlanta, GA.",listed,072271711,5211,SIC,Lumber and Other Building Materials Dealers,Atlanta,Georgia,30339
SCHWAB,The Charles Schwab Corp.,"The Charles Schwab Corp. is a savings and loan holding company, which engages in the provision of wealth management, securities brokerage, banking, asset management, custody, and financial advisory services. It operates through the Investor Services and Advisor Services segments. The Investor Services segment includes retail brokerage and banking services to individual investors, and retirement plan services, as well as other corporate brokerage services, to businesses and their employees. The Advisor Services segment provides custodial, trading, retirement business, and support services, as well as retirement business services to independent registered investment advisors, independent retirement advisors, and record keepers. The company was founded by Charles R. Schwab in 1986 and is headquartered in Westlake, TX.",listed,001307974,6211,SIC,"Security Brokers, Dealers, and Flotation Companies",Westlake,Texas,76262
NIKE,"NIKE, Inc.","NIKE, Inc. engages in the design, development, marketing, and sale of athletic footwear, apparel, accessories, equipment, and services. It operates through the following segments: North America, Europe, Middle East & Africa, Greater China, Asia Pacific & Latin America, Global Brand Divisions, Converse, and Corporate. The North America, Europe, Middle East & Africa, Greater China, and Asia Pacific & Latin America segments refer to the design, development, marketing, and selling of athletic footwear, apparel, and equipment. The Global Brand Divisions represent its NIKE Brand licensing businesses. The Converse segment designs, markets, licenses, and sells casual sneakers, apparel, and accessories. The Corporate segment consists of unallocated general and administrative expenses. The company was founded by William Jay Bowerman and Philip H. Knight on January 25, 1964, and is headquartered in Beaverton, OR.",listed,050957364,3021,SIC,Rubber and Plastics Footwear,Beaverton,Oregon,97005
BATCH,Vulcan Materials Co.,"Vulcan Materials Co. engages in the production of construction aggregates. Its products include crushed stone, sand, and gravel. It operates through the following business segments: Aggregates, Asphalt, Concrete, and Calcium. The Aggregates segment produces and sells asphalt mix and ready-mixed concrete primarily in its mid-Atlantic, Georgia, Southwestern, Tennessee, and Western markets. The Asphalt segment relates to the production and selling of asphalt mix in Arizona, California, New Mexico, Tennessee, and Texas. The Concrete segment refers to the production and selling of ready-mixed concrete in California, Georgia, Maryland, New Mexico, Texas, Virginia, Washington D.C., and the Bahamas. The Calcium segment includes the production of calcium products for the animal feed, plastics, and water treatment industries with calcium carbonate material mined at the Brooksville quarry. The company was founded in 1909 and is headquartered in Birmingham, AL.",listed,805344798,1429,SIC,"Crushed and Broken Stone, NEC",Birmingham,Alabama,35242
XYLEIN,"Xylem, Inc.","Xylem, Inc. engages in the design, manufacture, and application of engineered technologies for the water industry. It operates through the following business segments: Water Infrastructure, Applied Water, and Measurement and Control Solutions. The Water Infrastructure segment focuses on the transportation, treatment and testing of water. The Applied Water segment encompasses the uses of water and focuses on the commercial, residential, and industrial end markets. The Measurement and Control Solutions segment focuses on developing technology solutions that enable intelligent use and conservation of critical water and energy resources as well as analytical instrumentation used in the testing of water. The company was founded in 2011 and is headquartered in Washington, DC.",listed,968848734,3561,SIC,Pumps and Pumping Equipment,Washington,District of Columbia,20003
DVRCP,Dover Corp.,"Dover Corp. operates as a manufacturer and solutions provider delivering innovative equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services. It operates through the following segments: Engineered Products, Clean Energy and Fueling, Imaging and Identification, Pumps and Process Solutions, and Climate and Sustainability Technologies. The Engineered Products segment is involved in the equipment, components, software, solutions and services to the vehicle aftermarket, waste handling, industrial automation, aerospace and defense, industrial winch and hoist, and fluid dispensing end-markets. The Clean Energy and Fueling segment focuses on the components, equipment, software, solutions and services enabling safe and reliable storage, transport and dispensing of traditional and clean fuels, cryogenic gases, and other hazardous substances along the supply chain, and safe and efficient operation of convenience retail, retail fueling and vehicle wash establishments, as well as facilities where cryogenic gases are produced, stored or consumed. The Imaging and Identification segment supplies precision marking and coding, product traceability, brand protection and digital textile printing equipment, as well as related consumables, software and services to the global packaged and consumer goods, pharmaceutical, industrial manufacturing, textile and other end-markets. The Pumps and Process Solutions segment consists of specialty pumps and flow meters, highly engineered precision components for rotating and reciprocating machines, fluid connecting solutions and plastics and polymer processing equipment, serving single-use biopharmaceutical production, diversified industrial manufacturing, chemical production, plastics and polymer processing, midstream and downstream oil and gas and other end markets. The Climate and Sustainability Technologies segment refers to innovative and energy-efficient equipment, components and parts for the commercial refrigeration, equipment and systems, heating and cooling, and beverage can-making equipment markets. The company was founded by George L. Ohrstrom in 1947 and is headquartered in Downers Grove, IL.",listed,003245271,3559,SIC,"Special  Industry Machinery, NEC",Downers Grove,Illinois,60515
BNGLTD,Bunge Global SA,"Bunge Global SA engages in agribusiness including food and ingredients. It connects farmers to consumers to deliver essential and sustainable food, feed and fuel. The company was founded on February 14, 2023 and is headquartered in Chesterfield, MO.",listed,875657194,0723,SIC,"Crop Preparation Services For Market, except Cotton Ginning",Geneva,Geneve (Geneva),1206
COMEC,"Comerica, Inc.","Comerica, Inc. engages in the provision of financial services. It operates through the following segments: Commercial Bank, Retail Bank, Wealth Management, Finance, and Other. The Commercial Bank segment offers various products and services, including commercial loans and lines of credit, deposits, cash management, capital market products, international trade finance, letters of credit, foreign exchange management services, and loan syndication services. The Retail Bank segment includes personal financial services, consisting of consumer lending, consumer deposit gathering and mortgage loan origination, and offers consumer products, including deposit accounts, installment loans, credit cards, student loans, home equity lines of credit, and residential mortgage loans. The Wealth Management segment offers fiduciary services, private banking, retirement services, investment management and advisory services, investment banking, and brokerage services. The Finance segment includes the corporation's securities portfolio and asset and liability management activities. The Other segment includes the income and expense impact of equity and cash, tax benefits, charges of an unusual or infrequent nature that are not reflective of the normal operations, and miscellaneous other expenses of a corporate nature. The company was founded in 1973 and is headquartered in Dallas, TX.",listed,076352947,6021,SIC,National Commercial Banks,Dallas,Texas,75201
DAYHUD,Target Corp.,"Target Corp. engages in the operation and ownership of general merchandise stores. It offers food assortments including perishables, dry grocery, dairy, and frozen items. The company was founded by George Draper Dayton in 1902 and is headquartered in Minneapolis, MN.",listed,006961700,5399,SIC,Miscellaneous General Merchandise Stores,Minneapolis,Minnesota,55403
FPL,"NextEra Energy, Inc.","NextEra Energy, Inc. engages in the provision of renewable energy. It operates through the following segments: FPL and NEER. The FPL segment involves the generation, transmission, distribution, and sale of electric energy in Florida. The NEER segment produces electricity from clean and renewable sources, including wind and solar. The company was founded on December 28, 1925 and is headquartered in Juno Beach, FL.",listed,122723174,4911,SIC,Electric Services,Juno Beach,Florida,33408
SALESF,"Salesforce, Inc.","Salesforce, Inc. engages in the design and development of cloud-based enterprise software for customer relationship management. Its solutions include sales force automation, customer service and support, marketing automation, digital commerce, community management, collaboration, industry-specific solutions, and salesforce platform. The firm also provides guidance, support, training, and advisory services. The company was founded by Marc Russell Benioff and Parker Harris in 1999 and is headquartered in San Francisco, CA.",listed,072148831,7372,SIC,Prepackaged Software,San Francisco,California,94105
TXSIL,Texas Instruments Incorporated,"Texas Instruments Incorporated engages in the design and manufacture of semiconductors. It operates through the following segments: Analog, Embedded Processing, and Other. Analog semiconductors change real-world signals, such as sound, temperature, pressure or images, by conditioning them, amplifying them and often converting them to a stream of digital data that can be processed by other semiconductors, such as embedded processors. The Embedded Processing segment involves handling specific tasks and can be optimized for various combinations of performance, power, and cost, depending on the application. The company was founded in 1930 and is headquartered in Dallas, TX.",listed,007321904,3674,SIC,Semiconductors and Related Devices,Dallas,Texas,75243
EQF,"Equifax, Inc.","Equifax, Inc. engages in the provision of information solutions and human resources business process outsourcing services. It operates through the following business segments: U.S. Information Solutions, Workforce Solutions and International. The U.S. Information Solutions segment includes consumer and commercial information services, mortgage loan origination information, financial marketing services, and identity management. The Workforce Solutions segment covers employment, income, and social security number verification services as well as complementary payroll-based transaction and employment tax management services. The International segment offers information, technology, and services to support debt collections and recovery management in Canada, Europe, Latin America and Asia Pacific. The company was founded by Cator Woolford and Guy Woolford in 1899 and is headquartered in Atlanta, GA.",listed,045812369,7323,SIC,Credit Reporting Services,Atlanta,Georgia,30309
HCPI,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc. is a Standard & Poor’s 500 company, which engages in acquiring, developing, owning, leasing, and managing healthcare real estate across the United States. It operates through the following segments: Lab, Outpatient Medical, Continuing Care Retirement Community (CCRC), and Other Non-Reportable. The Lab segment refers to lab properties, which contain laboratory and office space. The Outpatient Medical segment includes outpatient medical buildings and hospitals. The CCRC segment deals with retirement communities that include independent living, assisted living, memory care, and skilled nursing units. The Other Non-Reportable segment consists of an unconsolidated joint venture with a sovereign wealth fund that owns 19 senior housing assets and loans receivable. The company was founded in 1985 and is headquartered in Denver, CO.",listed,147452494,6512,SIC,Operators of Nonresidential Buildings,Denver,Colorado,80237
COORSA,Molson Coors Beverage Co.,"Molson Coors Beverage Co. is a holding company, which engages in the production and sale of beer. It operates through the following segments: Americas, and EMEA and APAC. The Americas segment operates in the U.S., Canada and various countries in the Caribbean, Latin, and South America. The EMEA and APAC segment operates in Bulgaria, Croatia, Czech Republic, Hungary, Montenegro, the Republic of Ireland, Romania, Serbia, the UK, various other European countries, and certain countries within the Middle East, Africa, and Asia Pacific. The company was founded in 1786 and is headquartered in Golden, CO.",listed,007057342,2082,SIC,Malt Beverages,Golden,Colorado,80402
FTVCZZ,Fortive Corp.,"Fortive Corp. engages in the design, development, manufacturing, and marketing of professional and engineered products, software, and services for a variety of end markets. It operates through the following segments: Intelligent Operating Solutions, Precision Technologies, and Advanced Healthcare Solutions. The Intelligent Operating Solutions segment provides solutions to accelerate industrial and facility reliability and performance, as well as compliance and safety across a range of vertical end markets, including manufacturing, process industries, healthcare, utilities and power, communications, and electronics. The Precision Technologies segment supplies technologies such as electrical test and measurement instruments and services, energetic material devices, and a broad portfolio of sensor and control system solutions. The Advanced Healthcare Solutions segment serves healthcare customers with products and services for critical activities, including instrument and device reprocessing, instrument tracking, cell therapy equipment design and manufacturing, biomedical test tools, radiation safety monitoring, and asset management. The company was founded on November 10, 2015, and is headquartered in Everett, WA.",listed,080198742,3823,SIC,"Industrial Instruments for Measurement, Display, and Control of Process Variables; and Related Products",Everett,Washington,98203
WPL,Alliant Energy Corp.,"Alliant Energy Corp. engages in the provision of regulated electricity and natural gas service to natural gas customers in the Midwest through its two public utility subsidiaries. It operates through the Utility and ATC Holdings, Non-Utility, Parent, and Other segments. The Utility segment includes the operations of IPL and WPL, which primarily serve retail customers in Iowa and Wisconsin. The ATC Holdings, Non-Utility, Parent, and Other segment refers to the operations of AEF and its subsidiaries, Corporate Services, the Alliant Energy parent company, and any Alliant Energy parent company consolidating adjustments. The company was founded in 1981 and is headquartered in Madison, WI.",listed,187173612,4931,SIC,Electric and Other Services Combined,Madison,Wisconsin,53718
DUNBST,Moodys Corp.,"Moody's Corp. engages in the provision of credit ratings, research, tools and analysis to the global capital markets. It operates through the Moody's Investors Service (MIS) and Moody's Analytics (MA) segments. The MIS segment is a credit rating agency, which publishes credit ratings on debt obligations and the entities, including various corporate and governmental obligations, structured finance securities, and commercial paper programs. The MA segment develops products and services, which support financial analysis and risk management activities of institutional participants in global financial markets. The company was founded by John Moody in 1909 and is headquartered in New York, NY.",listed,049977473,7323,SIC,Credit Reporting Services,New York,New York,10007
PGASEL,PG&E Corp.,"PG&E Corp. operates as a holding company, which engages in generation, transmission, and distribution of electricity and natural gas to customers. It specializes in energy, utility, power, gas, electricity, solar and sustainability. The company was founded in 1995 and is headquartered in Oakland, CA.",listed,964899132,4911,SIC,Electric Services,Oakland,California,94612
ADEV,"Analog Devices, Inc.","Analog Devices, Inc. is a semiconductor company, which engages in the combination of analog, digital, and software technologies into engineering solutions. Its products include analog and mixed signals, power management and reference, amplifiers radio frequency, and reference, sensors and actuators, and digital signal processing and system. The company was founded by Raymond P. Stata and Matthew Lorber in 1965 and is headquartered in Wilmington, MA.",listed,001418417,3674,SIC,Semiconductors and Related Devices,Wilmington,Massachusetts,01887
KMCOR,Kimco Realty Corp.,"Kimco Realty Corp. is a real estate investment trust company, which engages in the ownership and operation of open-air shopping centers. It also specializes in shopping center acquisitions, development and management. The company was founded by Milton Cooper and Martin S. Kimmel in 1973 and is headquartered in Jericho, NY.",listed,068033117,6798,SIC,Real Estate Investment Trusts,Jericho,New York,11753
BLGROU,"Blackstone, Inc.","Blackstone, Inc. engages in the provision of investment and fund management services. It operates through the following segments: Real Estate, Private Equity, Credit and Insurance, and Hedge Fund Solutions. The Real Estate segment includes management of opportunistic real estate funds, Core+ real estate funds, high-yield real estate debt funds, and liquid real estate debt funds. The Private Equity segment consists of management of flagship corporate private equity funds, sector and geographically focused corporate private equity funds, core private equity funds, an opportunistic investment platform, a secondary fund of funds business, infrastructure-focused funds, a life sciences investment platform, a growth equity investment platform, a multi-asset investment program for eligible high net worth investors and a capital markets services business. The Credit and Insurance segment refers to Blackstone Credit, which is organized into two overarching strategies: private credit which includes mezzanine direct lending funds, private placement strategies, stressed and distressed strategies and energy strategies, and liquid credit which consists of CLOs, closed-ended funds, open ended funds and separately managed accounts. In addition, the segment includes an insurer-focused platform, an asset-based finance platform, and publicly traded master limited partnership investment platform. The Hedge Fund Solutions segment focuses on Blackstone Alternative Asset Management, which manages a broad range of commingled and customized hedge fund of fund solutions. It also includes a GP Stakes business and investment platforms that invest directly, as well as investment platforms that seed new hedge fund businesses and create alternative solutions through daily liquidity products. The company was founded by Stephen Allen Schwarzman in 1985 and is headquartered in New York, NY.",listed,144630571,6282,SIC,Investment Advice,New York,New York,10154
USSTEL,Marathon Oil Corp.,"Marathon Oil Corp. engages in the exploration, production, and marketing of liquid hydrocarbons and natural gas. It operates through the following two segments: United States (U. S.) and International. The U. S. segment engages in oil and gas exploration, development and production activities in the U.S. The International segment engages in oil and gas development and production across international locations primarily in Equatorial Guinea and the United Kingdom. The company was founded in 1887 and is headquartered in Houston, TX.",listed,002028801,1311,SIC,Crude Petroleum and Natural Gas,Houston,Texas,77024
ATZONE,"AutoZone, Inc.","AutoZone, Inc. engages in the retail and distribution of automotive replacement parts and accessories. It operates under the Auto Part Stores and Other segments. The company was founded by Joseph R. Hyde, III on July 4, 1979 and is headquartered in Memphis, TN.",listed,157233511,5531,SIC,Auto and Home Supply Stores,Memphis,Tennessee,38103
HPNTRZ,Hewlett Packard Enterprise Co.,"Hewlett Packard Enterprise Co. is a global edge-to-cloud company, which engages in the provision of information technology, technology and enterprise products, solutions, and services. It operates through the following segments: Compute, High Performance Computing & Artificial Intelligence (HPC and AI), Storage, Intelligent Edge, Financial Services, and Corporate Investments and Other. The Compute segment includes both general purpose servers for multi-workload computing and workload optimized servers to offer the best performance and value for demanding applications. The HPC and AI segment offers standard and custom hardware and software solutions designed to support specific use cases. The Storage segment provides workload optimized storage product and service offerings, which include an intelligent hyperconverged infrastructure with HPE Nimble Storage dHCI and HPE SimpliVity. The Intelligent Edge segment offers wired and wireless local area network, campus and data center switching, software-defined wide-area-network, network security, and associated services to enable secure connectivity for businesses of any size. The Financial Services segment provides flexible investment solutions, such as leasing, financing, IT consumption, utility programs, and asset management services for customers that facilitate technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others. The Corporate Investments and Other segment includes the A & PS business that primarily offers consultative-led services, HPE and partner technology expertise and advice, implementation services as well as complex solution engagement capabilities, the Communications and Media Solutions business, the HPE Software business, and Hewlett Packard Labs. The company was founded on July 2, 1939 and is headquartered in Spring, TX.",listed,117300358,3571,SIC,Electronic Computers,Spring,Texas,77389
MNLTHP,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc. designs, develops, and markets integrated power semiconductor solutions and power delivery architectures for computing and storage, automotive, industrial, communications, and consumer applications markets. It offers direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of various electronic systems, such as portable electronic devices, wireless LAN access points, computers and notebooks, monitors, infotainment applications, and medical equipment. The Firm also provides lighting control ICs for backlighting that are used in systems, which provide the light source for LCD panels in notebook computers, monitors, car navigation systems, and televisions, as well as for general illumination products. The company was founded by Michael R. Hsing, and James C. Moyer on August 22, 1997, and is headquartered in Kirkland, WA.",listed,799968680,3674,SIC,Semiconductors and Related Devices,Kirkland,Washington,98033
